ity,Districts
Tinh Binh Dinh,"['Thanh pho Quy Nhon', 'Huyen An Lao', 'Thi xa Hoai Nhon', 'Huyen Hoai An', 'Huyen Phu My', 'Huyen Vinh Thanh', 'Huyen Tay Son', 'Huyen Phu Cat', 'Thi xa An Nhon', 'Huyen Tuy Phuoc', 'Huyen Van Canh']"
Tinh Bac Lieu,"['Thanh pho Bac Lieu', 'Huyen Hong Dan', 'Huyen Phuoc Long', 'Huyen Vinh Loi', 'Thi xa Gia Rai', 'Huyen Dong Hai', 'Huyen Hoa Binh']"
Tinh Bac Giang,"['Thanh pho Bac Giang', 'Huyen Yen The', 'Huyen Tan Yen', 'Huyen Lang Giang', 'Huyen Luc Nam', 'Huyen Luc Ngan', 'Huyen Son Dong', 'Huyen Yen Dung', 'Huyen Viet Yen', 'Huyen Hiep Hoa']"
Tinh Bac Kan,"['Thanh Pho Bac Kan', 'Huyen Pac Nam', 'Huyen Ba Be', 'Huyen Ngan Son', 'Huyen Bach Thong', 'Huyen Cho Don', 'Huyen Cho Moi', 'Huyen Na Ri']"
Tinh Bac Ninh,"['Thanh pho Bac Ninh', 'Huyen Yen Phong', 'Thi xa Que Vo', 'Huyen Tien Du', 'Thanh pho Tu Son', 'Thi xa Thuan Thanh', 'Huyen Gia Binh', 'Huyen Luong Tai']"
Tinh Ben Tre,"['Thanh pho Ben Tre', 'Huyen Chau Thanh', 'Huyen Cho Lach', 'Huyen Mo Cay Nam', 'Huyen Giong Trom', 'Huyen Binh Dai', 'Huyen Ba Tri', 'Huyen Thanh Phu', 'Huyen Mo Cay Bac']"
Tinh Cao Bang,"['Thanh pho Cao Bang', 'Huyen Bao Lam', 'Huyen Bao Lac', 'Huyen Ha Quang', 'Huyen Trung Khanh', 'Huyen Ha Lang', 'Huyen Quang Hoa', 'Huyen Hoa An', 'Huyen Nguyen Binh', 'Huyen Thach An']"
Tinh Ca Mau,"['Thanh pho Ca Mau', 'Huyen U Minh', 'Huyen Thoi Binh', 'Huyen Tran Van Thoi', 'Huyen Cai Nuoc', 'Huyen Dam Doi', 'Huyen Nam Can', 'Huyen Phu Tan', 'Huyen Ngoc Hien']"
Tinh Gia Lai,"['Thanh pho Pleiku', 'Thi xa An Khe', 'Thi xa Ayun Pa', 'Huyen KBang', 'Huyen Dak Doa', 'Huyen Chu Pah', 'Huyen Ia Grai', 'Huyen Mang Yang', 'Huyen Kong Chro', 'Huyen Duc Co', 'Huyen Chu Prong', 'Huyen Chu Se', 'Huyen Dak Po', 'Huyen Ia Pa', 'Huyen Krong Pa', 'Huyen Phu Thien', 'Huyen Chu Puh']"
Tinh Hoa Binh,"['Thanh pho Hoa Binh', 'Huyen Da Bac', 'Huyen Luong Son', 'Huyen Kim Boi', 'Huyen Cao Phong', 'Huyen Tan Lac', 'Huyen Mai Chau', 'Huyen Lac Son', 'Huyen Yen Thuy', 'Huyen Lac Thuy']"
Tinh Ha Giang,"['Thanh pho Ha Giang', 'Huyen Dong Van', 'Huyen Meo Vac', 'Huyen Yen Minh', 'Huyen Quan Ba', 'Huyen Vi Xuyen', 'Huyen Bac Me', 'Huyen Hoang Su Phi', 'Huyen Xin Man', 'Huyen Bac Quang', 'Huyen Quang Binh']"
Tinh Ha Nam,"['Thanh pho Phu Ly', 'Thi xa Duy Tien', 'Huyen Kim Bang', 'Huyen Thanh Liem', 'Huyen Binh Luc', 'Huyen Ly Nhan']"
Tinh Ha Tinh,"['Thanh pho Ha Tinh', 'Thi xa Hong Linh', 'Huyen Huong Son', 'Huyen Duc Tho', 'Huyen Vu Quang', 'Huyen Nghi Xuan', 'Huyen Can Loc', 'Huyen Huong Khe', 'Huyen Thach Ha', 'Huyen Cam Xuyen', 'Huyen Ky Anh', 'Huyen Loc Ha', 'Thi xa Ky Anh']"
Tinh Hung Yen,"['Thanh pho Hung Yen', 'Huyen Van Lam', 'Huyen Van Giang', 'Huyen Yen My', 'Thi xa My Hao', 'Huyen An Thi', 'Huyen Khoai Chau', 'Huyen Kim Dong', 'Huyen Tien Lu', 'Huyen Phu Cu']"
Tinh Hai Duong,"['Thanh pho Hai Duong', 'Thanh pho Chi Linh', 'Huyen Nam Sach', 'Thi xa Kinh Mon', 'Huyen Kim Thanh', 'Huyen Thanh Ha', 'Huyen Cam Giang', 'Huyen Binh Giang', 'Huyen Gia Loc', 'Huyen Tu Ky', 'Huyen Ninh Giang', 'Huyen Thanh Mien']"
Tinh Hau Giang,"['Thanh pho Vi Thanh', 'Thanh pho Nga Bay', 'Huyen Chau Thanh A', 'Huyen Chau Thanh', 'Huyen Phung Hiep', 'Huyen Vi Thuy', 'Huyen Long My', 'Thi xa Long My']"
Tinh Khanh Hoa,"['Thanh pho Nha Trang', 'Thanh pho Cam Ranh', 'Huyen Cam Lam', 'Huyen Van Ninh', 'Thi xa Ninh Hoa', 'Huyen Khanh Vinh', 'Huyen Dien Khanh', 'Huyen Khanh Son', 'Huyen Truong Sa']"
Tinh Kien Giang,"['Thanh pho Rach Gia', 'Thanh pho Ha Tien', 'Huyen Kien Luong', 'Huyen Hon Dat', 'Huyen Tan Hiep', 'Huyen Chau Thanh', 'Huyen Giong Rieng', 'Huyen Go Quao', 'Huyen An Bien', 'Huyen An Minh', 'Huyen Vinh Thuan', 'Thanh pho Phu Quoc', 'Huyen Kien Hai', 'Huyen U Minh Thuong', 'Huyen Giang Thanh']"
Tinh Kon Tum,"['Thanh pho Kon Tum', 'Huyen Dak Glei', 'Huyen Ngoc Hoi', 'Huyen Dak To', 'Huyen Kon Plong', 'Huyen Kon Ray', 'Huyen Dak Ha', 'Huyen Sa Thay', 'Huyen Tu Mo Rong', ""Huyen Ia H' Drai""]"
Tinh Lai Chau,"['Thanh pho Lai Chau', 'Huyen Tam Duong', 'Huyen Muong Te', 'Huyen Sin Ho', 'Huyen Phong Tho', 'Huyen Than Uyen', 'Huyen Tan Uyen', 'Huyen Nam Nhun']"
Tinh Long An,"['Thanh pho Tan An', 'Thi xa Kien Tuong', 'Huyen Tan Hung', 'Huyen Vinh Hung', 'Huyen Moc Hoa', 'Huyen Tan Thanh', 'Huyen Thanh Hoa', 'Huyen Duc Hue', 'Huyen Duc Hoa', 'Huyen Ben Luc', 'Huyen Thu Thua', 'Huyen Tan Tru', 'Huyen Can Duoc', 'Huyen Can Giuoc', 'Huyen Chau Thanh']"
Tinh Lao Cai,"['Thanh pho Lao Cai', 'Huyen Bat Xat', 'Huyen Muong Khuong', 'Huyen Si Ma Cai', 'Huyen Bac Ha', 'Huyen Bao Thang', 'Huyen Bao Yen', 'Thi xa Sa Pa', 'Huyen Van Ban']"
Tinh Lam Dong,"['Thanh pho Da Lat', 'Thanh pho Bao Loc', 'Huyen Dam Rong', 'Huyen Lac Duong', 'Huyen Lam Ha', 'Huyen Don Duong', 'Huyen Duc Trong', 'Huyen Di Linh', 'Huyen Bao Lam', 'Huyen Da Huoai', 'Huyen Da Teh', 'Huyen Cat Tien']"
Tinh Lang Son,"['Thanh pho Lang Son', 'Huyen Trang Dinh', 'Huyen Binh Gia', 'Huyen Van Lang', 'Huyen Cao Loc', 'Huyen Van Quan', 'Huyen Bac Son', 'Huyen Huu Lung', 'Huyen Chi Lang', 'Huyen Loc Binh', 'Huyen Dinh Lap']"
Tinh Nam Dinh,"['Thanh pho Nam Dinh', 'Huyen My Loc', 'Huyen Vu Ban', 'Huyen Y Yen', 'Huyen Nghia Hung', 'Huyen Nam Truc', 'Huyen Truc Ninh', 'Huyen Xuan Truong', 'Huyen Giao Thuy', 'Huyen Hai Hau']"
Tinh Nghe An,"['Thanh pho Vinh', 'Thi xa Cua Lo', 'Thi xa Thai Hoa', 'Huyen Que Phong', 'Huyen Quy Chau', 'Huyen Ky Son', 'Huyen Tuong Duong', 'Huyen Nghia Dan', 'Huyen Quy Hop', 'Huyen Quynh Luu', 'Huyen Con Cuong', 'Huyen Tan Ky', 'Huyen Anh Son', 'Huyen Dien Chau', 'Huyen Yen Thanh', 'Huyen Do Luong', 'Huyen Thanh Chuong', 'Huyen Nghi Loc', 'Huyen Nam Dan', 'Huyen Hung Nguyen', 'Thi xa Hoang Mai']"
Tinh Ninh Binh,"['Thanh pho Ninh Binh', 'Thanh pho Tam Diep', 'Huyen Nho Quan', 'Huyen Gia Vien', 'Huyen Hoa Lu', 'Huyen Yen Khanh', 'Huyen Kim Son', 'Huyen Yen Mo']"
Tinh Ninh Thuan,"['Thanh pho Phan Rang-Thap Cham', 'Huyen Bac Ai', 'Huyen Ninh Son', 'Huyen Ninh Hai', 'Huyen Ninh Phuoc', 'Huyen Thuan Bac', 'Huyen Thuan Nam']"
Tinh Phu Tho,"['Thanh pho Viet Tri', 'Thi xa Phu Tho', 'Huyen Doan Hung', 'Huyen Ha Hoa', 'Huyen Thanh Ba', 'Huyen Phu Ninh', 'Huyen Yen Lap', 'Huyen Cam Khe', 'Huyen Tam Nong', 'Huyen Lam Thao', 'Huyen Thanh Son', 'Huyen Thanh Thuy', 'Huyen Tan Son']"
Tinh Phu Yen,"['Thanh pho Tuy Hoa', 'Thi xa Song Cau', 'Huyen Dong Xuan', 'Huyen Tuy An', 'Huyen Son Hoa', 'Huyen Song Hinh', 'Huyen Tay Hoa', 'Huyen Phu Hoa', 'Thi xa Dong Hoa']"
Tinh Quang Binh,"['Thanh Pho Dong Hoi', 'Huyen Minh Hoa', 'Huyen Tuyen Hoa', 'Huyen Quang Trach', 'Huyen Bo Trach', 'Huyen Quang Ninh', 'Huyen Le Thuy', 'Thi xa Ba Don']"
Tinh Quang Nam,"['Thanh pho Tam Ky', 'Thanh pho Hoi An', 'Huyen Tay Giang', 'Huyen Dong Giang', 'Huyen Dai Loc', 'Thi xa Dien Ban', 'Huyen Duy Xuyen', 'Huyen Que Son', 'Huyen Nam Giang', 'Huyen Phuoc Son', 'Huyen Hiep Duc', 'Huyen Thang Binh', 'Huyen Tien Phuoc', 'Huyen Bac Tra My', 'Huyen Nam Tra My', 'Huyen Nui Thanh', 'Huyen Phu Ninh', 'Huyen Nong Son']"
Tinh Quang Ngai,"['Thanh pho Quang Ngai', 'Huyen Binh Son', 'Huyen Tra Bong', 'Huyen Son Tinh', 'Huyen Tu Nghia', 'Huyen Son Ha', 'Huyen Son Tay', 'Huyen Minh Long', 'Huyen Nghia Hanh', 'Huyen Mo Duc', 'Thi xa Duc Pho', 'Huyen Ba To', 'Huyen Ly Son']"
Tinh Quang Ninh,"['Thanh pho Ha Long', 'Thanh pho Mong Cai', 'Thanh pho Cam Pha', 'Thanh pho Uong Bi', 'Huyen Binh Lieu', 'Huyen Tien Yen', 'Huyen Dam Ha', 'Huyen Hai Ha', 'Huyen Ba Che', 'Huyen Van Don', 'Thi xa Dong Trieu', 'Thi xa Quang Yen', 'Huyen Co To']"
Tinh Quang Tri,"['Thanh pho Dong Ha', 'Thi xa Quang Tri', 'Huyen Vinh Linh', 'Huyen Huong Hoa', 'Huyen Gio Linh', 'Huyen Da Krong', 'Huyen Cam Lo', 'Huyen Trieu Phong', 'Huyen Hai Lang', 'Huyen Con Co']"
Tinh Soc Trang,"['Thanh pho Soc Trang', 'Huyen Chau Thanh', 'Huyen Ke Sach', 'Huyen My Tu', 'Huyen Cu Lao Dung', 'Huyen Long Phu', 'Huyen My Xuyen', 'Thi xa Nga Nam', 'Huyen Thanh Tri', 'Thi xa Vinh Chau', 'Huyen Tran De']"
Tinh Son La,"['Thanh pho Son La', 'Huyen Quynh Nhai', 'Huyen Thuan Chau', 'Huyen Muong La', 'Huyen Bac Yen', 'Huyen Phu Yen', 'Huyen Moc Chau', 'Huyen Yen Chau', 'Huyen Mai Son', 'Huyen Song Ma', 'Huyen Sop Cop', 'Huyen Van Ho']"
Tinh Thanh Hoa,"['Thanh pho Thanh Hoa', 'Thi xa Bim Son', 'Thanh pho Sam Son', 'Huyen Muong Lat', 'Huyen Quan Hoa', 'Huyen Ba Thuoc', 'Huyen Quan Son', 'Huyen Lang Chanh', 'Huyen Ngoc Lac', 'Huyen Cam Thuy', 'Huyen Thach Thanh', 'Huyen Ha Trung', 'Huyen Vinh Loc', 'Huyen Yen Dinh', 'Huyen Tho Xuan', 'Huyen Thuong Xuan', 'Huyen Trieu Son', 'Huyen Thieu Hoa', 'Huyen Hoang Hoa', 'Huyen Hau Loc', 'Huyen Nga Son', 'Huyen Nhu Xuan', 'Huyen Nhu Thanh', 'Huyen Nong Cong', 'Huyen Dong Son', 'Huyen Quang Xuong', 'Thi xa Nghi Son']"
Tinh Thai Binh,"['Thanh pho Thai Binh', 'Huyen Quynh Phu', 'Huyen Hung Ha', 'Huyen Dong Hung', 'Huyen Thai Thuy', 'Huyen Tien Hai', 'Huyen Kien Xuong', 'Huyen Vu Thu']"
Tinh Thai Nguyen,"['Thanh pho Thai Nguyen', 'Thanh pho Song Cong', 'Huyen Dinh Hoa', 'Huyen Phu Luong', 'Huyen Dong Hy', 'Huyen Vo Nhai', 'Huyen Dai Tu', 'Thanh pho Pho Yen', 'Huyen Phu Binh']"
Tinh Thua Thien Hue,"['Thanh pho Hue', 'Huyen Phong Dien', 'Huyen Quang Dien', 'Huyen Phu Vang', 'Thi xa Huong Thuy', 'Thi xa Huong Tra', 'Huyen A Luoi', 'Huyen Phu Loc', 'Huyen Nam Dong']"
Tinh Tien Giang,"['Thanh pho My Tho', 'Thi xa Go Cong', 'Thi xa Cai Lay', 'Huyen Tan Phuoc', 'Huyen Cai Be', 'Huyen Cai Lay', 'Huyen Chau Thanh', 'Huyen Cho Gao', 'Huyen Go Cong Tay', 'Huyen Go Cong Dong', 'Huyen Tan Phu Dong']"
Tinh Tra Vinh,"['Thanh pho Tra Vinh', 'Huyen Cang Long', 'Huyen Cau Ke', 'Huyen Tieu Can', 'Huyen Chau Thanh', 'Huyen Cau Ngang', 'Huyen Tra Cu', 'Huyen Duyen Hai', 'Thi xa Duyen Hai']"
Tinh Tuyen Quang,"['Thanh pho Tuyen Quang', 'Huyen Lam Binh', 'Huyen Na Hang', 'Huyen Chiem Hoa', 'Huyen Ham Yen', 'Huyen Yen Son', 'Huyen Son Duong']"
Tinh Tay Ninh,"['Thanh pho Tay Ninh', 'Huyen Tan Bien', 'Huyen Tan Chau', 'Huyen Duong Minh Chau', 'Huyen Chau Thanh', 'Thi xa Hoa Thanh', 'Huyen Go Dau', 'Huyen Ben Cau', 'Thi xa Trang Bang']"
Tinh Vinh Long,"['Thanh pho Vinh Long', 'Huyen Long Ho', 'Huyen Mang Thit', 'Huyen  Vung Liem', 'Huyen Tam Binh', 'Thi xa Binh Minh', 'Huyen Tra On', 'Huyen Binh Tan']"
Tinh Vinh Phuc,"['Thanh pho Vinh Yen', 'Thanh pho Phuc Yen', 'Huyen Lap Thach', 'Huyen Tam Duong', 'Huyen Tam Dao', 'Huyen Binh Xuyen', 'Huyen Yen Lac', 'Huyen Vinh Tuong', 'Huyen Song Lo']"
Tinh Yen Bai,"['Thanh pho Yen Bai', 'Thi xa Nghia Lo', 'Huyen Luc Yen', 'Huyen Van Yen', 'Huyen Mu Cang Chai', 'Huyen Tran Yen', 'Huyen Tram Tau', 'Huyen Van Chan', 'Huyen Yen Binh']"
Tinh Dien Bien,"['Thanh pho Dien Bien Phu', 'Thi Xa Muong Lay', 'Huyen Muong Nhe', 'Huyen Muong Cha', 'Huyen Tua Chua', 'Huyen Tuan Giao', 'Huyen Dien Bien', 'Huyen Dien Bien Dong', 'Huyen Muong Ang', 'Huyen Nam Po']"
Tinh Dak Lak,"['Thanh pho Buon Ma Thuot', 'Thi Xa Buon Ho', ""Huyen Ea H'leo"", 'Huyen Ea Sup', 'Huyen Buon Don', ""Huyen Cu M'gar"", 'Huyen Krong Buk', 'Huyen Krong Nang', 'Huyen Ea Kar', ""Huyen M'Drak"", 'Huyen Krong Bong', 'Huyen Krong Pac', 'Huyen Krong A Na', 'Huyen Lak', 'Huyen Cu Kuin']"
Tinh Dak Nong,"['Thanh pho Gia Nghia', 'Huyen Dak Glong', 'Huyen Cu Jut', 'Huyen Dak Mil', 'Huyen Krong No', 'Huyen Dak Song', ""Huyen Dak R'Lap"", 'Huyen Tuy Duc']"
Tinh Dong Nai,"['Thanh pho Bien Hoa', 'Thanh pho Long Khanh', 'Huyen Tan Phu', 'Huyen Vinh Cuu', 'Huyen Dinh Quan', 'Huyen Trang Bom', 'Huyen Thong Nhat', 'Huyen Cam My', 'Huyen Long Thanh', 'Huyen Xuan Loc', 'Huyen Nhon Trach']"
Tinh Dong Thap,"['Thanh pho Cao Lanh', 'Thanh pho Sa Dec', 'Thanh pho Hong Ngu', 'Huyen Tan Hong', 'Huyen Hong Ngu', 'Huyen Tam Nong', 'Huyen Thap Muoi', 'Huyen Cao Lanh', 'Huyen Thanh Binh', 'Huyen Lap Vo', 'Huyen Lai Vung', 'Huyen Chau Thanh']"
